预测值：0.5933149025671582 真实值：0.590555556 误差：0.467245890606%
预测值：0.6191765874061431 真实值：0.622222222 误差：0.489476988473%
预测值：0.5968243253410711 真实值：0.582222222 误差：2.50799484961%
预测值：0.6180077645107622 真实值：0.605 误差：2.15004372079%
预测值：0.5721981283510474 真实值：0.575555556 误差：0.583336849754%
预测值：0.5642303438640238 真实值：0.565 误差：0.136222324952%
预测值：0.5652391930555002 真实值：0.564444444 误差：0.140801998133%
预测值：0.5888890167699526 真实值：0.576111111 误差：2.21795857188%
预测值：0.5818647883412499 真实值：0.623333333 误差：6.65270770282%
预测值：0.6052921031833338 真实值：0.607222222 误差：0.317860372486%
预测值：0.5009333332700002 真实值：0.463333333 误差：8.11510797778%
预测值：0.5458103703800001 真实值：0.545 误差：0.148691812844%
预测值：0.5807404365622857 真实值：0.588888889 误差：1.38369947029%
预测值：0.6077609104342221 真实值：0.599444444 误差：1.38736233482%
预测值：0.6143797090331667 真实值：0.645555556 误差：4.82930503457%
预测值：0.578118399518167 真实值：0.558888889 误差：3.44066788527%
预测值：0.6305874075116664 真实值：0.62 误差：1.70764637285%
预测值：0.5873169492328418 真实值：0.558888889 误差：5.08653165099%
预测值：0.6152154696720473 真实值：0.612222222 误差：0.488915227917%
预测值：0.5830093716787856 真实值：0.579444444 误差：0.615232006398%
预测值：0.5782278439841189 真实值：0.561666667 误差：2.94857750284%
预测值：0.5083571295853332 真实值：0.53 误差：4.0835604556%
预测值：0.4973629628433332 真实值：0.461666667 误差：7.73204963557%
预测值：0.5002472220699999 真实值：0.556666667 误差：10.1352296221%
预测值：0.5652666446396986 真实值：0.562222222 误差：0.541498098184%
预测值：0.6335324496318336 真实值：0.619444444 误差：2.27429687493%
预测值：0.48103611093000004 真实值：0.515 误差：6.5949299165%
预测值：0.5642920568661194 真实值：0.578333333 误差：2.42788636461%
预测值：0.5838333332690001 真实值：0.539444444 误差：8.22863035531%
预测值：0.5812091710319442 真实值：0.549444444 误差：5.78124456054%
预测值：0.5781727645665 真实值：0.586111111 误差：1.35440981829%
预测值：0.6390774736453969 真实值：0.639444444 误差：0.0573889347302%
预测值：0.6217052117465237 真实值：0.64 误差：2.85856066461%
预测值：0.616555099186262 真实值：0.596666667 误差：3.33325678913%
预测值：0.585650992100119 真实值：0.591666667 误差：1.01673378532%
预测值：0.5854357122896431 真实值：0.599444444 误差：2.336952465%
预测值：0.5003049226353332 真实值：0.468333333 误差：6.82667394835%
预测值：0.5898136640242622 真实值：0.592777778 误差：0.500037971352%
预测值：0.6136892746493728 真实值：0.616111111 误差：0.393084349136%
预测值：0.5480496296049998 真实值：0.577777778 误差：5.145256451%
预测值：0.6070881085206665 真实值：0.612222222 误差：0.838602927963%
预测值：0.5665863094926429 真实值：0.562222222 误差：0.776221095836%
预测值：0.5623691799620002 真实值：0.552777778 误差：1.73512799243%
预测值：0.5879919576706907 真实值：0.571111111 误差：2.95579027365%
预测值：0.644846470543655 真实值：0.637777778 误差：1.10833158311%
预测值：0.6147289815262497 真实值：0.623333333 误差：1.38037724252%
预测值：0.5770296626758927 真实值：0.562222222 误差：2.63373450861%
预测值：0.6126571032182021 真实值：0.617222222 误差：0.739623205238%
预测值：0.5328087037931667 真实值：0.539444444 误差：1.23010632154%
预测值：0.6423061971466667 真实值：0.619444444 误差：3.69068660928%
预测值：0.6352985186176667 真实值：0.636111111 误差：0.127743780651%
预测值：0.5735729897901038 真实值：0.558888889 误差：2.6273738983%
预测值：0.6120690764867099 真实值：0.589444444 误差：3.8382976915%
预测值：0.5757107142704525 真实值：0.573888889 误差：0.317452612408%
预测值：0.5672099470858812 真实值：0.557222222 误差：1.79241327635%
预测值：0.5107999999799998 真实值：0.53 误差：3.62264151321%
预测值：0.5824306086279206 真实值：0.596666667 误差：2.38593156941%
预测值：0.5355795370736665 真实值：0.538888889 误差：0.614106542904%
预测值：0.6319730157213214 真实值：0.647222222 误差：2.35610054172%
预测值：0.5605088932548331 真实值：0.55 误差：1.91070786452%
预测值：0.6280890168857303 真实值：0.61 误差：2.96541260422%
预测值：0.576376300786151 真实值：0.579444444 误差：0.529497391099%
预测值：0.5681051189907143 真实值：0.555555556 误差：2.25892133652%
预测值：0.6273066654719525 真实值：0.633333333 误差：0.951579083877%
预测值：0.6098102248385239 真实值：0.615555556 误差：0.933357047219%
预测值：0.6099008465956667 真实值：0.618333333 误差：1.3637444327%
预测值：0.6419063096022859 真实值：0.646111111 误差：0.650786114977%
预测值：0.5816145900247144 真实值：0.595 误差：2.24964873534%
